2023-08-05 12:13:12.653825	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-05 12:17:50.206958	https://sisbin.ufop.br/equipe	67,11	86	43	4	35	1	4	76	2	1	0	0	0	4	2	
2023-08-05 12:17:51.345126	https://periodicos.ufop.br/caletroscopio/article/view/3650	83,86	9	20	4	7	1	3	3	9	0	0	0	0	1	1	
2023-08-05 12:17:56.421922	https://periodicos.ufop.br/revemop/citationstylelanguage/get/vancouver?submissionId=6792	86,07	4	0	3	0	0	0	1	0	0	0	0	0	0	0	
2023-08-05 12:17:49.295277	http://www.lfc.nupeb.ufop.br/index.php/pos-doutorado	78,87	22	71	5	56	1	1	15	11	0	0	0	0	1	3	
2023-08-05 12:18:00.167417	https://www.propec.ufop.br/download/5cdcc9f6c1b2b9c307ce4ffb8f8a9f5b0ee2959e	86,07	4	15	3	15	0	0	1	0	0	0	0	0	0	0	
2023-08-05 12:18:00.887171	https://web.archive.org/web/20190201005439/https://www.caint.ufop.br/read/910-newsletter	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:17:52.518858	https://incop.ufop.br/file/26069	86,89	24	49	11	40	1	3	12	6	0	0	0	0	0	0	
2023-08-05 12:17:37.151505	http://tv.ufop.br/concertos-didaticos-cancao-do-cego-e-galo-garnize	72,02	9	49	4	42	1	2	0	3	0	0	0	0	4	2	
2023-08-05 12:18:03.664633	https://www.prograd.ufop.br/estagios/publicidade-artes-visuais-ou-design-home-office	70,63	19	67	5	52	1	5	9	8	0	0	0	0	4	2	
2023-08-05 12:18:06.987430	https://www.vestibular.ufop.br/index.php?option=com_content&view=article&id=1148:portaria-prograd-n-8-2022-resultados-validacao-etnico-racial-chamadas-6-a-9&catid=201&Itemid=139	85,43	7	36	6	33	1	1	0	2	0	0	0	0	0	0	
2023-08-05 12:18:06.025079	http://prograd.ufop.br/estagios/programa-trainee-santander	71,17	17	74	4	58	1	5	8	9	0	0	0	0	4	2	
2023-08-05 12:18:13.156753	https://periodicos.ufop.br/proprof/article/view/2481/1805	87,88	5	10	4	7	1	1	0	2	0	0	0	0	0	0	
2023-08-05 12:18:05.588731	http://mostramulti.ufop.br/2020-artes-visuais/	85,88	34	199	13	179	1	4	19	13	0	2	0	0	1	1	
2023-08-05 12:18:12.572077	https://periodicos.ufop.br/rest/article/view/3078	87,97	8	14	3	5	1	1	3	7	0	0	0	0	1	1	
2023-08-05 12:18:17.844204	https://www.soc.ufop.br/public/resolucao/mostrar/0000012018	79,41	15	14	5	12	1	0	7	1	0	0	0	0	2	1	
2023-08-05 12:18:23.651502	https://web.archive.org/web/20181231124551/http://www.periodicos.ufop.br/pp/index.php/raf/search/authors/view?firstName=Matheus&middleName=&lastName=de%20Simone&affiliation=&country=	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:18:08.950470	https://enut.ufop.br/media-gallery/detail/22530/46336	87,86	7	68	3	57	1	4	3	7	0	0	0	0	0	0	
