2023-08-05 15:25:02.801084	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-06 08:48:57.724945	http://www.acessoainformacao.ufop.br/index.php/2012-04-10-18-20-19/quem-e-quem/39-icsa	75,9	18	53	14	44	1	9	3	0	0	0	0	0	0	0	
2023-08-06 08:48:30.870083	https://ufop.br/alunos-graduacao?page=2	68,59	51	116	11	84	1	6	34	24	1	0	0	0	4	2	
2023-08-06 08:48:27.131468	http://www.dri.ufop.br/en/read/707-ended-the-first-international-summer-programme-ufop-2	83,52	15	76	5	67	0	4	9	2	1	0	0	0	0	3	
2023-08-06 08:48:29.260098	http://www.dri.ufop.br/idiomas/instituto-cervantes	81,49	26	125	8	113	0	4	17	5	1	0	0	0	0	3	
2023-08-06 08:48:50.672662	https://en.ufop.br/diversity-and-inclusion	74,52	27	80	8	72	1	5	14	1	0	0	0	0	4	2	
2023-08-06 08:49:22.030254	http://www.simpoed.ufop.br/index.php/programacao-2017	80,35	9	31	7	29	1	1	1	1	0	0	0	0	0	0	
2023-08-06 08:48:41.397020	https://dri.ufop.br/read/1764-universidad-finis-terrae-oferece-curso-de-espanhol-online-para-iniciantes	77,27	27	113	8	102	0	5	18	3	1	0	0	0	0	3	
2023-08-06 08:48:40.545569	https://www.caint.ufop.br/en/read/697-ufop-is-one-of-the-50-best-latin-american-universities	83,67	14	80	5	71	0	4	8	2	1	0	0	0	0	3	
2023-08-06 08:49:01.995805	https://culturafotograficaufop.blogspot.com/2020/05/fotografetododia-linhas24.html	63,45	45	319	9	295	2	5	32	18	1	0	0	0	1	1	
2023-08-06 08:48:44.956586	http://www.dri.ufop.br/en/read/1038-caint-promotes-activities-during-the-12th-ufop-profession-fair	83,07	32	124	5	115	0	4	26	2	1	0	0	0	0	3	
2023-08-06 08:49:26.668276	https://proex.ufop.br/programas/ouro-preto-o-meu-lugar-programa-municipal-de-educacao-e-patrimonio/ouro-preto-o-meu-lugar-escola-municipal-monsenhor-joao-castilho-barbosa-0	67,64	18	60	6	51	1	5	6	2	1	0	0	0	4	2	
2023-08-06 08:49:12.533286	https://dri.ufop.br/programas/gcub-mob	81,56	23	95	7	85	0	4	15	3	1	0	0	0	0	3	
2023-08-06 08:49:14.020913	http://www3.decom.ufop.br/toffolo/pt-br/ensino/pcc174_2021-1/	78,1	17	96	6	61	2	30	9	3	0	0	0	2	0	0	
2023-08-06 08:49:32.458130	https://www.em.ufop.br/index.php/resolucoes/2-uncategorised/275-resolucoes-2016	84,6	13	240	7	233	0	1	5	6	1	0	0	0	0	0	
2023-08-06 08:49:26.591736	https://cbiol.nupeb.ufop.br/teses-doutorado-defendidas	89,46	15	45	4	36	1	3	10	5	0	0	0	0	0	1	
2023-08-06 08:49:33.036426	https://museudafarmacia.ufop.br/media-gallery/detail/1563/2345	81,91	5	51	2	35	1	3	1	13	1	0	0	0	0	0	
2023-08-06 08:49:15.259411	https://culturafotograficaufop.blogspot.com/search/label/Martin%20Waugh	79,27	28	174	5	146	1	5	21	22	0	0	0	0	1	1	
2023-08-06 08:49:37.969349	https://nti.ufop.br/atendimento	79,24	11	59	4	48	1	3	6	7	0	0	0	0	0	1	
