2023-08-05 15:25:02.801084	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-05 18:36:16.663255	https://propp.ufop.br/en/news/aluno-de-iniciacao-cientifica-da-ufop-participa-de-artigo-publicado-em-revista-internacional	63,58	17	56	5	46	1	2	6	6	1	0	0	0	4	2	
2023-08-05 18:36:13.690212	https://ppgcom.ufop.br/news/ppgcom-acolhe-o-xiii-encontro-de-grupos-de-pesquisa-brasileiros	87,09	22	71	8	59	1	3	13	8	0	0	0	0	0	1	
2023-08-05 18:36:10.704310	http://petpedagogiaufop.blogspot.com/	73,89	192	605	18	565	2	12	171	23	1	1	0	4	0	0	
2023-08-05 18:36:08.560683	https://culturafotograficaufop.blogspot.com/2021/01/galeria-juca-martins.html	62,4	70	243	13	217	2	6	53	19	1	0	0	0	1	1	
2023-08-05 18:36:20.721349	http://pesquisaparitaria.assufop.com.br/comissao-divulga-resultado-da-pesquisa-paritaria-confira/	83,63	9	52	3	28	1	8	5	5	0	11	0	0	0	0	
2023-08-05 18:36:28.131387	http://proex.ufop.br/programas/opcod3rs-pensamento-computacional-e-reciclagem-de-computadores-como-apoio-ao-processo-ensino-aprendizagem/pensamento-computacional-para-o-ensino-fundamental-ii	67,64	18	60	6	51	1	5	6	2	1	0	0	0	4	2	
2023-08-05 18:36:25.857612	https://labiiex.ufop.br/publications/aerobic-training-modulates-increase-plasma-concentrations-cytokines-response	82,14	7	44	4	32	2	5	1	7	0	0	0	0	0	0	
2023-08-05 18:36:23.049326	https://prof.ufop.br/news/aten%C3%A7%C3%A3o-funcionamento-da-diretoria-de-or%C3%A7amento-e-finan%C3%A7as	87,75	10	72	5	58	1	3	4	10	0	0	0	0	0	1	
2023-08-05 18:36:27.452321	https://polosdecinema.ufop.br/sess%C3%B5es-remotas?type=month&month=2023-08&mini=2023-09	82,79	19	97	15	83	1	5	3	9	0	0	0	0	0	0	
2023-08-05 18:36:41.429085	https://prace.ufop.br/estudantes-que-foram-assistidos-com-bolsa-transporte	71,96	19	73	7	59	1	4	7	8	0	0	0	0	4	2	
2023-08-05 18:36:10.983565	https://dri.ufop.br/read/1713-gcub-oferece-desconto-na-realizacao-do-exame-toefl-ibt-10	77,24	28	135	9	123	0	5	18	4	1	0	0	0	0	3	
2023-08-05 18:36:42.701507	https://museologia.ufop.br/people/marcia-m-arcuri-su%C3%B1er	77,32	14	46	5	34	1	3	7	9	1	0	0	0	0	0	
2023-08-05 18:37:04.129576	https://propp.ufop.br/en/node/104	65,55	19	53	5	42	1	2	8	7	1	0	0	0	4	2	
2023-08-05 18:36:41.085661	https://fisica.ufop.br/people/bruna-bueno-postacchini	86,02	10	34	4	28	1	4	5	2	0	0	0	0	0	0	
2023-08-05 18:36:30.913079	https://culturafotograficaufop.blogspot.com/search/label/fotografia%20art%C3%ADstica?updated-max=2022-10-25T07:00:00-03:00&max-results=20&start=20&by-date=false	79,27	26	137	4	123	1	4	20	9	0	0	0	0	1	1	
2023-08-05 18:36:45.775690	https://ppea.ufop.br/docentes	82,15	40	62	4	48	1	3	34	10	1	0	0	0	0	1	
2023-08-05 18:36:56.085473	http://www.dri.ufop.br/see/1109-fundacao-botin-2020	77,36	23	106	7	96	0	5	15	2	1	0	0	0	0	3	
2023-08-05 18:36:51.739393	https://culturafotograficaufop.blogspot.com/2022/10/ceu-e-mar-do-infinito-e-alem.html#comments	69,4	50	247	23	223	2	6	23	17	1	0	0	0	1	1	
2023-08-05 18:37:16.605826	https://proex.ufop.br/projetos-isolados	71,71	18	62	6	51	1	5	6	2	1	0	0	0	4	4	
2023-08-05 18:37:13.293647	https://csu.dof.ufop.br/aquisi%C3%A7%C3%B5es-covid-19	85,33	11	62	5	49	1	3	5	10	0	0	0	0	0	0	
2023-08-05 18:37:17.077731	https://dri.ufop.br/depoimentos/86-depoimentos-de-alunos-da-ufop/757-igino-de-oliveira	77,3	25	110	8	101	0	4	16	2	1	0	0	0	0	3	
2023-08-05 18:37:18.873913	https://fisica.ufop.br/people/ronaldo-junio-campos-batista	86,04	9	36	4	30	1	4	4	2	0	0	0	0	0	0	
2023-08-05 18:37:15.396542	http://www.caint.ufop.br/index.php/read/752	77,3	25	104	8	95	0	4	16	2	1	0	0	0	0	3	
2023-08-05 18:37:17.604640	https://www.caint.ufop.br/see/1210-universidade-colombiana-promove-webinarios-gratuitos	77,36	23	108	7	99	0	4	15	2	1	0	0	0	0	3	
2023-08-05 18:37:34.412454	http://www.decom.ufop.br/decom/ensino/disciplina/mtm112/2023-1	85,23	11	88	5	79	1	5	3	3	1	0	0	0	1	1	
2023-08-05 18:37:38.987279	http://www.em.ufop.br/index.php/conselho-departamental	82,58	9	62	4	55	0	1	4	6	1	0	0	0	0	0	
2023-08-05 18:37:34.578530	https://prace.ufop.br/pre-conferencia-de-documentos-para-fins-de-avaliacao-socioeconomica-da-coordenadoria-de-assuntos-0	71,95	19	70	7	56	1	4	7	8	0	0	0	0	4	2	
2023-08-05 18:37:33.880612	https://fisica.ufop.br/classes/fis130-fisica-i/materials/roteiro-queda-livre	88,07	7	36	2	30	1	4	4	2	0	0	0	0	0	0	
2023-08-05 18:37:25.870617	https://ppgedmat.ufop.br/bolsas	74,63	6	75	4	65	1	4	0	6	1	0	0	0	0	0	
2023-08-05 18:37:48.189882	https://ppghis.ufop.br/publicationsandgroups	80,29	67	263	13	218	1	3	52	41	1	0	0	0	0	1	
2023-08-05 18:37:16.056580	https://dri.ufop.br/en/read/1564-ufop-was-included-in-the-times-higher-education-impact-rankings-2022	83,52	15	86	5	77	0	4	9	2	1	0	0	0	0	3	
2023-08-05 18:37:59.600800	https://moodle.aberta.ufop.br/course/index.php?categoryid=25	83,41	17	89	3	72	0	7	13	5	1	0	0	0	0	5	
2023-08-05 18:37:33.013490	http://www2.decom.ufop.br/imobilis/fazendo-a-integracao-do-eclipse-com-o-git/	79,01	92	188	20	157	1	13	70	17	0	0	0	0	1	1	
2023-08-05 18:38:06.506964	https://prograd.ufop.br/estagios/vagas?page=7	62,43	45	130	14	111	1	5	25	10	1	0	0	0	4	4	
2023-08-05 18:37:56.403318	https://siass.ufop.br/licen%C3%A7a-por-motivo-de-doen%C3%A7a-em-pessoa-da-fam%C3%ADlia	86,59	18	56	6	46	1	3	11	7	0	0	0	0	0	0	
2023-08-05 18:37:52.687486	https://culturafotograficaufop.blogspot.com/2020/01/convocatoria.html#comments	68,9	43	323	11	297	2	6	28	19	1	0	0	0	1	1	
2023-08-05 18:38:07.812139	https://ufopcomaescola.ufop.br/home?type=month&month=2023-08&mini=2023-11	79,38	21	135	18	113	1	4	1	17	1	0	0	0	0	1	
2023-08-05 18:38:17.139116	http://prograd.ufop.br/%3Cnolink%3E/plano-de-acao-pedagogica	75,64	16	67	3	52	1	5	8	8	0	0	0	0	4	2	
2023-08-05 18:38:19.083153	http://www.em.ufop.br/index.php/resolucoes/2-uncategorised/319-resolucoes-cdem-sobre-cepe-7000-2017	85,52	8	92	5	87	0	1	2	4	1	0	0	0	0	0	
2023-08-05 18:37:52.316888	https://ufop.br/estatuto-e-regimento	75,35	32	84	7	70	1	6	20	6	0	0	0	0	4	2	
2023-08-05 18:38:22.758265	https://prace.ufop.br/diversidade-inclusao-e-acolhimento-0	71,96	19	69	7	55	1	4	7	8	0	0	0	0	4	2	
2023-08-05 18:38:30.232189	https://proficam.ufop.br	68,18	67	260	14	224	1	3	46	31	1	0	0	0	5	2	
2023-08-05 18:38:41.881656	http://www.vestibular.ufop.br/index.php?option=com_content&view=category&id=208&Itemid=139	91,01	6	23	4	18	1	1	1	3	0	0	0	0	0	1	
2023-08-05 18:38:29.285861	http://pesquisaparitaria.assufop.com.br/errata-de-inclusao-de-dois-nomes-na-urna-do-sistema-de-votacao-e-votacao/	83,6	9	48	3	29	1	8	5	4	0	7	0	0	0	0	
